job_title,company_name,city,location,salary,salary_currency,seniority_level,experience_required,employment_type,remote_type,industry,education_required,has_equity,has_bonus,has_remote_benefits,skills_required,job_description,job_link,job_id,source_website,dedup_key,is_faang,cost_of_living_index,date_posted_raw,applicant_count,currency,company_rating,salary_estimate_type
"Sr. Manager, Applied Science, Sponsored Products and Brands",Amazon Advertising LLC,"New York, NY, USA","New York, NY",,USD,Senior (5+ years),5+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=bef1e240bda7e115&bb=2Lpgv48ejf9Ek48Gt0kcFoJiEA5l5QZRzO9Q_ItyU9C8Nkj2jFD8zL9i_ZVtwkkAsIHUXCd6afhR6LodA0wl23rJcnX-cZfyMFbmpEpXowN644_YjcX_dmp8w4kbQ1Z4&xkcb=SoBt67M3lNDyQKRXRh0bbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,bef1e240bda7e115,Indeed,5df8d8ddddeb,0,100,,,USD,,
"Applied Scientist III, Sponsored Products and Brands",Amazon.com Services LLC,"New York, NY, USA","New York, NY",,USD,Senior (5+ years),5+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=acc279cc521e8453&bb=2Lpgv48ejf9Ek48Gt0kcFoi883aml7binFszs9hvlJ3D3QCnJ5DJdCnHXLPP4dY3ucN7iLU9TA4ha6TNxcxQUj9ScoIhYTNh-YCp1EG3HuHE9dB1NjzFwo62reLHBZRL&xkcb=SoDZ67M3lNDyQKRXRh0abzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,acc279cc521e8453,Indeed,370c32d2375f,0,100,,,USD,,
"Sr. Applied Scientist, Amazon Advertising",Amazon.com Services LLC,"New York, NY, USA","New York, NY",,USD,Senior (5+ years),5+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=2fb4d02349e69159&bb=pBI80OonpRK1HkaoK__KUoltgP72D9n1Nx0W0_sLijUdINq6CGYXRclbssNSUSNcqvMIM8x6E3xRPYdkez23Y59OSDa3YtQm-7h57MvpDXb-MhubDf9Daq1cfmQjQ7WH&xkcb=SoDd67M3lNEfvdgO1D0IbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,2fb4d02349e69159,Indeed,73cb0739f0e3,0,100,,,USD,,
"Applied Scientist II, Prime Video - Personalization and Discovery Science, Personalization and Discovery Science",Amazon.com LLC - A03,"New York, NY, USA","New York, NY",,USD,Mid-Level (2-5 years),2-5 years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=043177034f4471d3&bb=pBI80OonpRK1HkaoK__KUumFSHoapppc6Z4f8seNtX4dXwq8WLytrxuXv8yAGTvsibJjJnchhyfMom6J_98RN3W_L1wBTjc4fqvcrtFxBhJAQeFd7EotLc8W2d8Vht_f&xkcb=SoBT67M3lNEfvdgO1D0PbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,043177034f4471d3,Indeed,e6c09815573f,0,100,,,USD,,
"Senior Applied Science Manager, Amazon Sponsored Products & Brands",Amazon.com Services LLC,"New York, NY, USA","New York, NY",,USD,Senior (5+ years),5+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=85fb5e951481c7ee&bb=pBI80OonpRK1HkaoK__KUtApt-ieKQD_GmMQ_i3stoUlugzm0bXSjI4mQ-LmNc1YqXsQ0hJcdF2t-z13Fj4d1Igq2KzuN6Vp5Zu-F_fqmN-Nw-vGoIovNNTL3ejhJuDk&xkcb=SoDn67M3lNEfvdgO1D0ObzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,85fb5e951481c7ee,Indeed,7d9f92420163,0,100,,,USD,,
"Sr Software Dev Engineer, Machine Learning, Sponsored Products and Brands Ads Response Prediction",Amazon.com Services LLC,"New York, NY, USA","New York, NY",,USD,Senior (5+ years),5+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=4aedb710eb7d6998&bb=pBI80OonpRK1HkaoK__KUq6rz38wleG1tmxfvoI1M9U4WUtm2y5YHGh0Xz6kd_ODR8pLIsGBBk8fQRQqdSPa1NQZ4l5H4EIkAFS6XVcOfO3sVzZAixmdOQABfzp1CStV&xkcb=SoB667M3lNEfvdgO1D0NbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,4aedb710eb7d6998,Indeed,47bf2fef995b,0,100,,,USD,,
"Sr. Applied Scientist, Amazon Ads",Amazon.com Services LLC - A57,"New York, NY, USA","New York, NY",,USD,Senior (5+ years),5+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=8402a0bf13caddb7&bb=pBI80OonpRK1HkaoK__KUuCjl-Wq4tmGtXZ3ydLzJd4NQ0cE3e50qSkyB6YsLzDw5jw43uaa8HdMUu07uvxwwncD5paUyqNy9WopTRN3Do8NtxW1dPz1VmlvNFVPW6xg&xkcb=SoAn67M3lNEfvdgO1D0DbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,8402a0bf13caddb7,Indeed,3bed2796a2d2,0,100,,,USD,,
Software Development Engineer,Amazon.com Services LLC,"New York, NY, USA","New York, NY",,USD,Mid-Level (2-5 years),2-5 years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=8c98f3d6d81b364a&bb=pBI80OonpRK1HkaoK__KUuOanKOrxYMNCVwyC7VlKZPcGCX53vZvaDO2V058mb6jUXHkzFgjrIRhFqjwAVd9FvC_lDQg0sqIV80IkSDLZRyW4_BFhREgUzkr_4PEzqR4&xkcb=SoCT67M3lNEfvdgO1D0CbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,8c98f3d6d81b364a,Indeed,227a5359d4cf,0,100,,,USD,,
"Sr. MLE, Prime Video - Personalization and Discovery",Amazon.com Services LLC,"New York, NY, USA","New York, NY",,USD,Senior (5+ years),5+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=227d6dcefab622f8&bb=pBI80OonpRK1HkaoK__KUumFSHoapppcmzB4bkIi8HKOXSZuxty1PLFCJKJuLeNnae6Utp0qBFwgXFJUMS6_OxpiqT3XNsooZUS6FKQg0wMACoJ1dIuUCAFq8DD5GsXJ&xkcb=SoAO67M3lNEfvdgO1D0BbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,227d6dcefab622f8,Indeed,ff8d8d60d530,0,100,,,USD,,
"Software Development Engineer, Amazon Ads",Amazon.com Services LLC,"New York, NY, USA","New York, NY",,USD,Mid-Level (2-5 years),2-5 years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=d1100dfb0650184f&bb=pBI80OonpRK1HkaoK__KUuXmt-X-78C2idD6nPGHsHQJstd-swLASP3VpNtMzb3CNpFTCL1YEjf0mJ7fiv1KGPzYrJtC4J1y9iQtuXTaU7JKM0qtvjNOdfUNxw5DNwUS&xkcb=SoC667M3lNEfvdgO1D0AbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,d1100dfb0650184f,Indeed,3f0167bc8396,0,100,,,USD,,
"Senior Applied Scientist, Sponsored Products and Brands",Amazon.com Services LLC,"New York, NY, USA","New York, NY",,USD,Senior (5+ years),5+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=3348a716177f3570&bb=pBI80OonpRK1HkaoK__KUt7pDNcF7PDnAsCSh5W-lFvt7Xf3cQdLlqgELyAhIO4Unk4pyL6vKpzE5sHV1iT6uyYSq6M4RZ7h-1fITqz-KclJRNPnuMOm4thpklsY42q0&xkcb=SoA067M3lNEfvdgO1D0HbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,3348a716177f3570,Indeed,ff120ab1daa7,0,100,,,USD,,
Data Scientist,Oracle,"San Francisco, CA, USA","Redwood City, CA",,USD,Mid-Level (2-5 years),2-5 years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=d8085f60f384b044&bb=Uby6bVI3BZrh5HAXney5CSLy3v7KmMoT42BAMhr8EYnimPE_hag1DRoevR9SfeywkUyLTBuz766wDqDpexVj4VIlMkF9zOQYs-f6Cu31ZGCPVkx2Um76wyyXVGznoLrPyYnuYLzaYcCaq_q7lsLFeg%3D%3D&xkcb=SoBY67M3lNE_h3gO1D0GbzkdCdPP&fccid=cd22d01053af7669&vjs=3,d8085f60f384b044,Indeed,d32e0453677e,0,105,,,USD,,
Cloud Systems and AI Engineer (AWS) | Specialist Manager,Deloitte,"Sydney, Australia",Sydney NSW 2000,,AUD,Mid-Level (2-5 years),2-5 years,,On-site,,,False,False,False,,,https://au.indeed.com/rc/clk?jk=d3fb5ea0a90c4923&bb=x-N1pPUFdnL1knZPqUla6SIpon5UPG7KVkzpDGXiAJNxjigYd7sl7vN5kYf8Dbf2kqR1QNKcZwgFm_MGhlZH-_NSI9E6vvML0Y84yMqjlNiNpwixiGd0KGpLaxS7ORH6&xkcb=SoD567M3lNswpYRWDh0BbzkdCdPP&fccid=9e215d88a6b33622&vjs=3,d3fb5ea0a90c4923,Indeed,ab02710ec0fb,0,85,,,AUD,,
Senior Data Scientist,Intuit,"San Francisco, CA, USA","San Francisco, CA 94103 (South of Market area)",,USD,Senior (5+ years),5+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=ebe4c966f05ab0f1&bb=Uby6bVI3BZrh5HAXney5CXaF6V7ApVh_fwxqnWVFoPOPvLUyvya0OARQzOtLjRr5GiG5ENERj5PXMeVSAheBjVA9i0YkASzyEIb3_nPOzoS01j_o5qTrSLOdzspnPo7UGq1eQQATJsGwnn4Pg2z99g%3D%3D&xkcb=SoDF67M3lNE_h3gO1D0FbzkdCdPP&fccid=9784ae78e9834539&vjs=3,ebe4c966f05ab0f1,Indeed,93c06f9d5209,0,105,,,USD,,
Senior Data Scientist - Alt Defense,roblox,"San Francisco, CA, USA","San Mateo, CA 94403 (Bay Meadows area)",,USD,Senior (5+ years),5+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=f0d82765f588cc86&bb=Uby6bVI3BZrh5HAXney5CXVmadz1vQjOTKziQhbevvZs1tStcG6uUpKf9-Uc1iWxblgcQ_6299jZ74oxWz6NChOZjRtRxoEBv1v3yKJydAqnsTxj2EDtj6EVpvfH4jWW81FDFLeMeEX7e81oILMXCg%3D%3D&xkcb=SoBW67M3lNE_h3gO1D0bbzkdCdPP&fccid=04ef150429d33336&vjs=3,f0d82765f588cc86,Indeed,1fadb319bcfd,0,105,,,USD,,
"Principal Applied Scientist, Kiro Science","Amazon Development Center U.S., Inc.","New York, NY, USA","Hybrid work in New York, NY",,USD,Staff (8+ years),8+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=56a54021135a1e34&bb=pBI80OonpRK1HkaoK__KUrRJdoZp9GXVOQlmSWxTX9wETwNLuX8_QxYAFahyxPBLaXDwB3SWXH0Q7mOqbCIHHPn83HvUANNrUOp8wecsYOX4OrK7RasTORWVMrKXEZ5M&xkcb=SoCA67M3lNEfvdgO1D0GbzkdCdPP&fccid=5cc0cdc6dbb121cc&vjs=3,56a54021135a1e34,Indeed,b2e5e9fca855,0,100,,,USD,,
Remedy Helix CMDB Developer (8-10 yrs Exp),AMERICAN SOFTWARE LLC,"New York, NY, USA","Brooklyn, NY 11201",,USD,Mid-Level (2-5 years),2-5 years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=013a55dbf5db4b8e&bb=e6SXoHVarnMspo73CvRD_VTBlGXg_FZHp7fmuUV3ALMBmNd3aYBYY3fpSLkGrrYFpwINxm_Ix4kNj8Asal_2YpxlubMYZ2j5NcGuxwSKCvxX_jwsQjGUlYrmCkdLxFujtn8AwfcKLcS3STXNbxoVaw3agFqRE7779F8Z-ehGxuaYN99r3Iy0qg%3D%3D&xkcb=SoCi67M3lNEv8-QvyR0gbzkdCdPP&fccid=eb22d527f586ece9&cmp=AMERICAN-SOFTWARE-LLC&ti=Developer&vjs=3,013a55dbf5db4b8e,Indeed,61abbeb22814,0,100,,,USD,,
Machine Learning Data Engineer,Oden Technologies,"San Francisco, CA, USA","San Francisco, CA",,USD,Mid-Level (2-5 years),2-5 years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=dad89173af640b7d&bb=Uby6bVI3BZrh5HAXney5CXVmadz1vQjOoEtBpbfy5Oc4pmT8jM4CM77uoqSlkQRYWRaGH18ZFUndFOJulats-DuL8ODEA-GfiuFFvOuMX7I0im2OmknrwmqPmc8lGawLfYDd37HGh1cMQZO1CKivvw%3D%3D&xkcb=SoDs67M3lNE_h3gO1D0HbzkdCdPP&fccid=d925143d1df92cf2&vjs=3,dad89173af640b7d,Indeed,8aa4d7b60dd3,0,105,,,USD,,
"Senior Software Development Engineer - AI/ML, AWS Neuron, Multimodal Inference",Annapurna Labs (U.S.) Inc.,"New York, NY, USA","New York, NY",,USD,Senior (5+ years),5+ years,,On-site,,,False,False,False,,,https://www.indeed.com/rc/clk?jk=f464ed8a155c4d64&bb=e6SXoHVarnMspo73CvRD_TtTFC4kuwr4B1bm2YjKCt54_2g5PjhYIk3ngdyAQnzlmNU9IoVBhOfMer98MNProUSuGiSqFAsJmKITPqWWMmX4Xd5GCbVXDmOZueWz0NuUPkcA6TWo1cdoFHquBEwAYw%3D%3D&xkcb=SoDW67M3lNEv8-QvyR0sbzkdCdPP&fccid=5cc0cdc6dbb121cc&vjs=3,f464ed8a155c4d64,Indeed,48d5add26bf7,0,100,,,USD,,
Senior Backend Engineer,Roofr,"Toronto, Canada","Toronto, ON",,CAD,Senior (5+ years),5+ years,,On-site,,,False,False,False,,,https://ca.indeed.com/rc/clk?jk=471afb139c764f8d&bb=COAiVlkE47T5n-h1Hs0iL16gg9KvLifK_5rSgGSgTulImyMy4QWwsH0Idnu-Gu92r9rUdDpQcC2P1jtWb4Whstz3zTmxW6jawfQHpZjLzQCTSAa97SXS-SuTArkQKFUN&xkcb=SoDL67M3lNsTPrADM70bbzkdCdPP&fccid=1af8154bf32c39be&vjs=3,471afb139c764f8d,Indeed,7d49baa9eb53,0,78,,,CAD,,
